channel_id,z,element,shell,kappa,occupancy,file,n_rows,e0_min_keV,e0_max_keV,e_th_keV_bote,s_cert_min_A_inv,s_cert_max_A_inv,dataset_version
L3_Z41,41,Nb,L3,-2,4.0,F_L3_Z41.json,30,30.0,400.0,2.37235,14.00,16.00,5.0.0
M1_Z41,41,Nb,M1,-1,2.0,F_M1_Z41.json,24,30.0,400.0,0.45935,14.00,16.00,5.0.0
M2_Z41,41,Nb,M2,1,2.0,F_M2_Z41.json,22,30.0,400.0,0.37858,14.00,16.00,5.0.0
M3_Z41,41,Nb,M3,-2,4.0,F_M3_Z41.json,22,30.0,400.0,0.36250,14.00,16.00,5.0.0
M4_Z41,41,Nb,M4,2,4.0,F_M4_Z41.json,22,30.0,400.0,0.21805,14.00,16.00,5.0.0
M5_Z41,41,Nb,M5,-3,6.0,F_M5_Z41.json,22,30.0,400.0,0.21500,14.00,16.00,5.0.0
K_Z42,42,Mo,K,-1,2.0,F_K_Z42.json,32,30.0,400.0,19.96910,14.00,16.00,5.0.0
L1_Z42,42,Mo,L1,-1,2.0,F_L1_Z42.json,30,30.0,400.0,2.85034,14.00,16.00,5.0.0
L2_Z42,42,Mo,L2,1,2.0,F_L2_Z42.json,31,30.0,400.0,2.63328,14.00,16.00,5.0.0
L3_Z42,42,Mo,L3,-2,4.0,F_L3_Z42.json,25,30.0,400.0,2.52456,14.00,16.00,5.0.0
M1_Z42,42,Mo,M1,-1,2.0,F_M1_Z42.json,23,30.0,400.0,0.49776,14.00,16.00,5.0.0
M2_Z42,42,Mo,M2,1,2.0,F_M2_Z42.json,23,30.0,400.0,0.41330,14.00,16.00,5.0.0
M3_Z42,42,Mo,M3,-2,4.0,F_M3_Z42.json,23,30.0,400.0,0.39514,14.00,16.00,5.0.0
M4_Z42,42,Mo,M4,2,4.0,F_M4_Z42.json,22,30.0,400.0,0.24398,14.00,16.00,5.0.0
M5_Z42,42,Mo,M5,-3,6.0,F_M5_Z42.json,22,30.0,400.0,0.24047,14.00,16.00,5.0.0
K_Z43,43,Tc,K,-1,2.0,F_K_Z43.json,34,30.0,400.0,21.01190,14.00,16.00,5.0.0
L1_Z43,43,Tc,L1,-1,2.0,F_L1_Z43.json,30,30.0,400.0,3.02246,14.00,16.00,5.0.0
L2_Z43,43,Tc,L2,1,2.0,F_L2_Z43.json,31,30.0,400.0,2.79796,14.00,16.00,5.0.0
L3_Z43,43,Tc,L3,-2,4.0,F_L3_Z43.json,31,30.0,400.0,2.67736,14.00,16.00,5.0.0
M1_Z43,43,Tc,M1,-1,2.0,F_M1_Z43.json,24,30.0,400.0,0.53344,14.00,16.00,5.0.0
M2_Z43,43,Tc,M2,1,2.0,F_M2_Z43.json,22,30.0,400.0,0.44525,14.00,16.00,5.0.0
M3_Z43,43,Tc,M3,-2,4.0,F_M3_Z43.json,23,30.0,400.0,0.42480,14.00,16.00,5.0.0
M4_Z43,43,Tc,M4,2,4.0,F_M4_Z43.json,22,30.0,400.0,0.26686,14.00,16.00,5.0.0
M5_Z43,43,Tc,M5,-3,6.0,F_M5_Z43.json,22,30.0,400.0,0.26286,14.00,16.00,5.0.0
K_Z44,44,Ru,K,-1,2.0,F_K_Z44.json,30,30.0,400.0,22.08730,14.00,16.00,5.0.0
L1_Z44,44,Ru,L1,-1,2.0,F_L1_Z44.json,32,30.0,400.0,3.20404,14.00,16.00,5.0.0
L2_Z44,44,Ru,L2,1,2.0,F_L2_Z44.json,27,30.0,400.0,2.97198,14.00,16.00,5.0.0
L3_Z44,44,Ru,L3,-2,4.0,F_L3_Z44.json,30,30.0,400.0,2.83853,14.00,16.00,5.0.0
M1_Z44,44,Ru,M1,-1,2.0,F_M1_Z44.json,25,30.0,400.0,0.57408,14.00,16.00,5.0.0
M2_Z44,44,Ru,M2,1,2.0,F_M2_Z44.json,24,30.0,400.0,0.48211,14.00,16.00,5.0.0
M3_Z44,44,Ru,M3,-2,4.0,F_M3_Z44.json,24,30.0,400.0,0.45916,14.00,16.00,5.0.0
M4_Z44,44,Ru,M4,2,4.0,F_M4_Z44.json,22,30.0,400.0,0.29441,14.00,16.00,5.0.0
M5_Z44,44,Ru,M5,-3,6.0,F_M5_Z44.json,22,30.0,400.0,0.28986,14.00,16.00,5.0.0
