Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
21,Sc,L1,0,50,30,1.101418,1.022e-04,0.000e+00,1.401e-04
21,Sc,L1,0,50,100,1.068651,3.240e-04,0.000e+00,1.397e-04
21,Sc,L1,50,150,10,1.121932,1.189e-04,0.000e+00,0.000e+00
21,Sc,L1,50,150,30,1.077872,1.601e-04,0.000e+00,0.000e+00
21,Sc,L1,50,150,100,1.037269,4.029e-04,0.000e+00,0.000e+00
21,Sc,L2,0,100,10,1.238020,1.415e-04,0.000e+00,2.024e-04
21,Sc,L2,0,100,30,1.190627,2.163e-04,0.000e+00,1.946e-04
21,Sc,L2,0,100,100,1.163102,2.625e-04,0.000e+00,1.924e-04
21,Sc,L2,0,200,10,1.213258,2.101e-04,0.000e+00,6.176e-05
21,Sc,L2,0,200,30,1.166764,2.879e-04,0.000e+00,5.755e-05
21,Sc,L2,0,200,100,1.135630,3.445e-04,0.000e+00,5.616e-05
21,Sc,L2,0,50,10,1.279336,1.052e-04,0.000e+00,1.623e-04
21,Sc,L2,0,50,30,1.231167,1.825e-04,0.000e+00,1.590e-04
21,Sc,L2,0,50,100,1.205501,2.249e-04,0.000e+00,1.581e-04
21,Sc,L2,50,150,10,1.170513,2.450e-04,0.000e+00,0.000e+00
21,Sc,L2,50,150,30,1.128092,3.159e-04,0.000e+00,0.000e+00
21,Sc,L2,50,150,100,1.097048,3.689e-04,0.000e+00,0.000e+00
21,Sc,L3,0,100,10,1.239644,1.428e-04,0.000e+00,2.041e-04
21,Sc,L3,0,100,30,1.192058,2.178e-04,0.000e+00,1.961e-04
21,Sc,L3,0,100,100,1.164804,2.650e-04,0.000e+00,1.939e-04
21,Sc,L3,0,200,10,1.214760,2.116e-04,0.000e+00,6.245e-05
21,Sc,L3,0,200,30,1.168026,2.893e-04,0.000e+00,5.817e-05
21,Sc,L3,0,200,100,1.137120,3.478e-04,0.000e+00,5.677e-05
21,Sc,L3,0,50,10,1.281136,1.057e-04,0.000e+00,1.632e-04
21,Sc,L3,0,50,30,1.232804,1.804e-04,0.000e+00,1.599e-04
